Iteration,My,Sigma
625,3.15271806439514,1.45770423810797
626,3.16311803717108,1.46759434801904
627,3.18471387405116,1.47518578561991
628,3.17209154825594,1.47211652752926
629,3.17209154825594,1.47211652752926
630,3.17209154825594,1.47211652752926
631,3.16942756704224,1.46550210294827
632,3.18113137694442,1.45591361816482
633,3.18113137694442,1.45591361816482
634,3.18882940928937,1.45025300277874
635,3.19659783753962,1.44004449546946
636,3.19392769947594,1.44176487654023
637,3.19081881985817,1.45902520244421
638,3.20275246096087,1.44784050965853
639,3.19185342684043,1.44631395350674
640,3.18208252296227,1.43744240780626
641,3.16971013328037,1.41445778827297
642,3.16516669592283,1.4135655966487
643,3.16636209197167,1.41334638343411
644,3.18175477281419,1.42658836128447
645,3.18733393862939,1.42576068234861
646,3.14972513126989,1.4235202427926
647,3.13432331849857,1.43112079155354
648,3.12679736608031,1.42387809783141
649,3.13051184985361,1.41096979402122
650,3.12151999337785,1.42173539376266
651,3.1276998495199,1.43164904018854
652,3.1281809690678,1.43030965166716
653,3.12513361234577,1.42039956709933
654,3.12406021404568,1.4055097010269
655,3.12225028723634,1.40608498009123
656,3.13915054557373,1.4090143913136
657,3.14142694866722,1.41303596874782
658,3.15192385310418,1.41706124668826
659,3.14557292046648,1.41166763383637
660,3.14118826525208,1.40234188898871
661,3.14441651297998,1.4090041970848
662,3.14681413156437,1.39699367765793
663,3.14725003128082,1.39089637751823
664,3.15928767837241,1.38432336005621
665,3.16554046347525,1.37256117067558
666,3.16980930060504,1.37552188478289
667,3.16199030957943,1.37313964179917
668,3.16395201916305,1.37185385272481
669,3.16295118018349,1.38004590003125
670,3.16849133053207,1.37948472429325
671,3.1754199879606,1.36698227185089
672,3.17233274462627,1.37634485310419
673,3.16349173437265,1.35919848088093
674,3.15604520238723,1.34759992620034
675,3.14687585158436,1.36445006509006
676,3.15091565439859,1.36471167503377
677,3.14464355138164,1.36838419596885
678,3.1535100607931,1.37346999334703
679,3.1567780157988,1.37848033849599
680,3.14358755347203,1.37829409932966
681,3.13152229529243,1.38524136691753
682,3.1418064613948,1.37790721035506
683,3.15696660604152,1.38182562472246
684,3.15696660604152,1.38182562472246
685,3.16644361956427,1.39953065835547
686,3.13564456142702,1.3903156185268
687,3.1561367966975,1.38961139261648
688,3.16925029440334,1.39590809019645
689,3.16503232783455,1.40039571779346
690,3.17791508792277,1.40965305405702
691,3.18477474551203,1.4215496164046
692,3.17357116051203,1.42314301318518
693,3.18708633127957,1.41357925347984
694,3.18758482999896,1.395515970274
695,3.19378866986991,1.39871247167721
696,3.19342057198243,1.40574815292701
697,3.19074868356401,1.40428188801511
698,3.20038564185343,1.40990314647056
699,3.20536858210694,1.41522683165261
700,3.21177998383924,1.41904389179314
701,3.2127198707046,1.42265766915581
702,3.21337664875092,1.41526013826236
703,3.21103204501605,1.42898997425885
704,3.20529704305159,1.44068549314625
705,3.20529704305159,1.44068549314625
706,3.21138995375353,1.43166686819246
707,3.21798249747138,1.43231324611816
708,3.22023970075025,1.42050643267591
709,3.20323782662441,1.41741404012312
710,3.20323782662441,1.41741404012312
711,3.20800740936713,1.41340369333522
712,3.20583782142605,1.41526220190383
713,3.2154276575972,1.41030412361561
714,3.20113275185371,1.41722979155932
715,3.17074729264938,1.41668076803595
716,3.18480149413401,1.41962082924768
717,3.18090705134354,1.40692875282154
718,3.17283335125327,1.40804522372372
719,3.15500194719996,1.39921743068899
720,3.15077094699245,1.40457152541601
721,3.15650871258153,1.39862749243154
722,3.1546939127124,1.38992243973192
723,3.15850705149524,1.38682628704214
724,3.15734536637035,1.4015005235087
725,3.14480503684468,1.40683777417072
726,3.15675341278588,1.40336931561669
727,3.1671539869129,1.39725672647849
728,3.17174659633303,1.39511449446971
729,3.16567662325379,1.39199291154785
730,3.16637549180572,1.38911700875311
731,3.17651469626521,1.39418983752583
732,3.18506044491971,1.40181842393261
733,3.18271293652308,1.40887007220848
734,3.1928851275582,1.40508302752633
735,3.19319446937831,1.4154194781531
736,3.19002982792799,1.43281123266441
737,3.17803378592258,1.4245861310399
738,3.18153255136607,1.41973641995999
739,3.17887251913005,1.40758497245447
740,3.17234385155205,1.41042682324966
741,3.18424206688338,1.40432847939959
742,3.17339070313553,1.40731627965879
743,3.16274345789242,1.41391525667196
744,3.1489857075351,1.39659544026011
745,3.14582161044305,1.39968230873395
746,3.14801664361033,1.39933839318438
747,3.14801664361033,1.39933839318438
748,3.1451089312968,1.40092967831819
749,3.14194209624455,1.39803425119023
750,3.13520448060174,1.39088006749365
751,3.128579000103,1.39921840650514
752,3.13352423059714,1.37510638718273
753,3.12407107814532,1.37382335218277
754,3.12297795342927,1.37307502181307
755,3.1214861517002,1.36179295126815
756,3.13025212419662,1.38988605416545
757,3.1400813293744,1.37369201205038
758,3.14048096764309,1.38276798237924
759,3.14931017507018,1.3807387388203
